"","OverallQual","BedroomAbvGr","CentralAir","BsmtQual","BsmtUnfSF","Fireplaces","YrSold","HouseStyle","HeatingQC","GarageType","RoofMatl","PavedDrive","SaleType","FullBath","OpenPorchSF","RoofStyle","Utilities","BsmtFinSF1","Heating","KitchenQual","HalfBath","BsmtFinType1","WoodDeckSF","TotRmsAbvGrd","SalePrice","YearBuilt","BsmtCond","Foundation","Electrical","BldgType","OverallCond","GrLivArea","neighborhood","KitchenAbvGr","LotConfig","LotShape","LotArea","LotFrontage","Exterior1st","ExterQual","ExterCond"
"39",6,3,"Y","Gd",88,0,2007,"2Story","Ex","Attchd","CompShg","Y","WD",2,36,"Gable","AllPub",706,"GasA","TA",1,"GLQ",0,7,211000,1998,"TA","PConc","SBrkr","1Fam",5,1796,"CollegeCr",1,"CulDSac","IR1",9531,65,"VinylSd","TA","TA"
"40",7,3,"Y","Gd",880,0,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,155,"Gable","AllPub",0,"GasA","Gd",1,"Unf",120,8,188000,1998,"TA","PConc","SBrkr","1Fam",5,1724,"CollegeCr",1,"CulDSac","IR1",8924,57,"VinylSd","TA","TA"
"41",8,3,"Y","Gd",223,1,2010,"1Story","Ex","Attchd","CompShg","Y","WD",2,0,"Gable","AllPub",1358,"GasA","Gd",0,"GLQ",180,6,272000,2001,"TA","PConc","SBrkr","1Fam",5,1601,"CollegeCr",1,"Inside","Reg",11423,65,"VinylSd","TA","Gd"
"42",6,1,"Y","Gd",163,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",685,"GasA","Gd",0,"GLQ",140,4,140000,2003,"TA","PConc","SBrkr","Twnhs",5,848,"CollegeCr",1,"Inside","Reg",4435,65,"VinylSd","TA","Gd"
"43",7,3,"Y","Gd",572,1,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,36,"Gable","AllPub",922,"GasA","Gd",0,"GLQ",192,6,221000,2002,"TA","PConc","SBrkr","1Fam",5,1494,"CollegeCr",1,"Inside","IR1",12803,88,"VinylSd","TA","Gd"
"44",5,3,"Y","Gd",308,0,2009,"1Story","Gd","Detchd","CompShg","Y","WD",1,0,"Gable","AllPub",732,"GasA","Gd",0,"GLQ",168,6,152000,1996,"TA","PConc","SBrkr","1Fam",5,1040,"CollegeCr",1,"Corner","IR2",12464,82,"VinylSd","Gd","TA"
"45",9,3,"Y","Ex",536,2,2009,"2Story","Ex","Attchd","CompShg","Y","WD",2,142,"notGable","AllPub",904,"GasA","Ex",1,"GLQ",253,8,313000,2000,"TA","PConc","SBrkr","1Fam",5,2153,"CollegeCr",1,"Inside","Reg",11050,65,"VinylSd","TA","Gd"
"46",8,3,"Y","Gd",309,1,2009,"2Story","Ex","Attchd","CompShg","Y","WD",2,122,"Gable","AllPub",990,"GasA","Ex",1,"GLQ",160,7,261500,2001,"TA","PConc","SBrkr","1Fam",5,1872,"CollegeCr",1,"Inside","Reg",11885,65,"VinylSd","TA","Gd"
"47",7,2,"Y","Gd",880,1,2009,"2Story","Ex","Attchd","CompShg","Y","WD",2,120,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,7,191000,1996,"TA","PConc","SBrkr","1Fam",5,1716,"CollegeCr",1,"Inside","Reg",8750,70,"VinylSd","TA","Gd"
"48",6,1,"Y","Gd",151,1,2008,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",697,"GasA","Gd",0,"GLQ",149,3,141000,2004,"TA","PConc","SBrkr","Twnhs",5,848,"CollegeCr",1,"Inside","Reg",4426,65,"VinylSd","TA","Gd"
"49",7,3,"Y","Gd",761,0,2010,"1Story","Ex","Attchd","CompShg","Y","WD",2,35,"Gable","AllPub",712,"GasA","Gd",0,"GLQ",0,7,213000,2004,"TA","PConc","SBrkr","1Fam",5,1484,"CollegeCr",1,"Inside","Reg",8400,70,"VinylSd","TA","Gd"
"50",5,3,"Y","Gd",448,1,2006,"1Story","TA","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",523,"GasA","TA",1,"ALQ",0,5,128500,1969,"TA","CBlock","SBrkr","1Fam",6,971,"CollegeCr",1,"Inside","IR1",9920,69,"OtherSd","TA","TA"
"51",6,1,"Y","Gd",186,0,2010,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",662,"GasA","Gd",0,"GLQ",160,3,143000,2004,"TA","PConc","SBrkr","Twnhs",5,848,"CollegeCr",1,"Inside","Reg",4426,65,"VinylSd","TA","Gd"
"52",7,2,"Y","Gd",508,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,0,"Gable","AllPub",724,"GasA","Gd",0,"GLQ",132,6,194500,2007,"TA","PConc","SBrkr","1Fam",5,1232,"CollegeCr",1,"Inside","Reg",7314,64,"VinylSd","TA","Gd"
"53",7,3,"Y","Gd",901,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,84,"Gable","AllPub",252,"GasA","Gd",1,"ALQ",192,8,222500,1998,"TA","PConc","SBrkr","1Fam",5,2031,"CollegeCr",1,"Inside","IR1",11404,75,"VinylSd","TA","Gd"
"54",7,3,"Y","Gd",864,0,2009,"2Story","Ex","Attchd","CompShg","Y","WD",2,56,"Gable","AllPub",0,"GasA","Gd",1,"Unf",187,7,190000,2004,"TA","PConc","SBrkr","1Fam",5,1728,"CollegeCr",1,"Inside","IR1",9313,65,"VinylSd","TA","Gd"
"55",6,3,"Y","Gd",279,0,2006,"1Story","Ex","Attchd","CompShg","Y","WD",2,27,"Gable","AllPub",1200,"GasA","Gd",0,"GLQ",168,6,217000,1997,"TA","PConc","SBrkr","1Fam",5,1494,"CollegeCr",1,"Inside","IR1",9236,79,"VinylSd","Gd","TA"
"56",8,3,"Y","Gd",846,0,2009,"2Story","Ex","Attchd","CompShg","Y","WD",2,105,"Gable","AllPub",20,"GasA","Gd",1,"GLQ",144,7,212000,2007,"TA","PConc","SBrkr","1Fam",5,1768,"CollegeCr",1,"Inside","IR1",10769,68,"VinylSd","TA","Gd"
"57",7,3,"Y","Gd",1836,1,2006,"1Story","Ex","Attchd","CompShg","Y","WD",2,33,"notGable","AllPub",24,"GasA","Gd",0,"GLQ",120,8,216837,2004,"TA","PConc","SBrkr","1Fam",5,1836,"CollegeCr",1,"Inside","Reg",9100,70,"VinylSd","TA","Gd"
"58",7,3,"Y","Gd",1594,0,2006,"1Story","Ex","Attchd","CompShg","Y","notWD",2,59,"Gable","AllPub",20,"GasA","Gd",0,"GLQ",144,7,221500,2005,"TA","PConc","SBrkr","1Fam",5,1614,"CollegeCr",1,"Inside","IR1",11210,86,"VinylSd","TA","Gd"
"59",7,3,"Y","Gd",1413,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,33,"Gable","AllPub",0,"GasA","Gd",0,"Unf",0,6,187100,2001,"TA","PConc","SBrkr","1Fam",5,1430,"CollegeCr",1,"Inside","IR2",16285,67,"VinylSd","TA","Gd"
"60",7,3,"Y","Gd",80,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,18,"Gable","AllPub",648,"GasA","Gd",1,"GLQ",36,7,189000,2005,"TA","PConc","SBrkr","1Fam",5,1456,"CollegeCr",1,"Inside","Reg",8199,63,"OtherSd","TA","Gd"
"61",6,1,"Y","Gd",186,1,2008,"1Story","Ex","Attchd","CompShg","Y","notWD",1,0,"Gable","AllPub",662,"GasA","Gd",0,"GLQ",140,4,144500,2004,"TA","PConc","SBrkr","Twnhs",5,848,"CollegeCr",1,"Inside","Reg",4438,65,"VinylSd","TA","Gd"
"62",7,3,"Y","Gd",1649,0,2010,"1Story","Ex","Attchd","CompShg","Y","WD",2,34,"Gable","AllPub",0,"GasA","Gd",0,"Unf",0,6,224900,1998,"TA","PConc","SBrkr","1Fam",5,1661,"CollegeCr",1,"CulDSac","IR2",12137,48,"VinylSd","TA","TA"
"63",7,3,"Y","Gd",798,0,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,45,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,6,183000,2003,"TA","PConc","SBrkr","1Fam",5,1640,"CollegeCr",1,"CulDSac","IR1",7226,72,"VinylSd","TA","Gd"
"64",5,3,"Y","Gd",1099,0,2008,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",0,"GasA","Gd",1,"Unf",278,6,144000,1995,"TA","PConc","SBrkr","1Fam",6,1099,"CollegeCr",1,"Inside","Reg",9525,75,"VinylSd","TA","TA"
"65",5,3,"Y","TA",404,1,2009,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",460,"GasA","TA",0,"BLQ",0,5,133500,1972,"TA","CBlock","SBrkr","1Fam",6,864,"CollegeCr",1,"CulDSac","IR1",15523,36,"OtherSd","TA","TA"
"66",6,3,"Y","Gd",299,0,2010,"2Story","Ex","Attchd","CompShg","Y","WD",2,77,"Gable","AllPub",505,"GasA","Gd",1,"GLQ",0,7,200500,1998,"TA","PConc","SBrkr","1Fam",5,1682,"CollegeCr",1,"Inside","Reg",8750,70,"VinylSd","TA","TA"
"67",5,3,"Y","TA",218,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",646,"GasA","TA",0,"ALQ",0,6,136500,1978,"TA","CBlock","SBrkr","1Fam",8,864,"CollegeCr",1,"CulDSac","IR1",7000,65,"VinylSd","Gd","Gd"
"68",8,3,"Y","Gd",1753,1,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,151,"notGable","AllPub",0,"GasA","Ex",0,"Unf",202,7,236500,2001,"TA","PConc","SBrkr","1Fam",5,1788,"CollegeCr",1,"Inside","Reg",11838,65,"VinylSd","TA","Gd"
"69",7,3,"Y","Gd",1480,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,36,"Gable","AllPub",20,"GasA","Gd",0,"GLQ",192,6,190000,2004,"TA","PConc","SBrkr","1Fam",5,1500,"CollegeCr",1,"FR2","Reg",8487,63,"VinylSd","TA","Gd"
"70",7,3,"Y","Gd",936,1,2006,"2Story","Ex","Attchd","CompShg","Y","WD",2,96,"Gable","AllPub",0,"GasA","Gd",1,"Unf",144,7,192500,2002,"TA","PConc","SBrkr","1Fam",5,1776,"CollegeCr",1,"Inside","IR1",14006,65,"VinylSd","TA","Gd"
"71",7,3,"Y","Gd",638,0,2007,"1Story","Ex","Attchd","CompShg","Y","WD",2,39,"Gable","AllPub",699,"GasA","Gd",0,"GLQ",0,6,185000,2003,"TA","PConc","SBrkr","1Fam",5,1337,"CollegeCr",1,"Inside","Reg",8450,65,"VinylSd","TA","Gd"
"72",9,2,"Y","Ex",1800,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,136,"Gable","AllPub",0,"GasA","Ex",0,"Unf",288,7,239000,2007,"TA","PConc","SBrkr","1Fam",5,1800,"CollegeCr",1,"Corner","IR1",11923,122,"VinylSd","TA","Gd"
"73",8,4,"Y","Gd",1128,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,0,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,9,255900,2002,"TA","PConc","SBrkr","1Fam",5,2290,"CollegeCr",1,"Corner","Reg",11250,65,"OtherSd","TA","Gd"
"74",6,3,"Y","Gd",750,0,2006,"2Story","Ex","Attchd","CompShg","Y","notWD",2,35,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,6,173900,2005,"TA","PConc","SBrkr","1Fam",5,1500,"CollegeCr",1,"Inside","Reg",8846,68,"VinylSd","TA","TA"
"75",7,2,"Y","Gd",501,0,2010,"1Story","Ex","Attchd","CompShg","Y","WD",2,61,"Gable","AllPub",686,"GasA","Gd",0,"GLQ",105,6,206000,2006,"TA","PConc","SBrkr","1Fam",5,1208,"CollegeCr",1,"Inside","Reg",6762,64,"VinylSd","TA","Gd"
"76",7,3,"Y","Gd",814,1,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,66,"notGable","AllPub",690,"GasA","Gd",0,"GLQ",115,6,203000,1996,"TA","PConc","SBrkr","1Fam",5,1504,"CollegeCr",1,"Inside","Reg",11883,73,"VinylSd","TA","Gd"
"77",7,2,"Y","Gd",515,0,2006,"1Story","Ex","Attchd","CompShg","Y","notWD",2,54,"Gable","AllPub",684,"GasA","Gd",0,"GLQ",105,6,194000,2006,"TA","PConc","SBrkr","1Fam",5,1220,"CollegeCr",1,"Inside","Reg",7406,64,"VinylSd","TA","Gd"
"78",5,3,"Y","TA",276,0,2007,"1Story","TA","Detchd","CompShg","Y","WD",1,0,"Gable","AllPub",138,"GasA","TA",0,"BLQ",96,5,112500,1972,"TA","CBlock","SBrkr","1Fam",5,882,"CollegeCr",1,"Corner","Reg",7700,70,"VinylSd","TA","TA"
"79",7,3,"Y","Gd",668,0,2006,"1Story","Ex","Attchd","CompShg","Y","WD",2,136,"Gable","AllPub",986,"GasA","Gd",0,"GLQ",0,6,230000,2002,"TA","PConc","SBrkr","1Fam",5,1654,"CollegeCr",1,"Inside","Reg",8125,65,"VinylSd","TA","Gd"
"80",8,3,"Y","Gd",1055,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,45,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,7,287000,2001,"TA","PConc","SBrkr","1Fam",5,2263,"CollegeCr",1,"Inside","Reg",9240,65,"VinylSd","TA","Gd"
"81",5,3,"Y","Gd",304,0,2008,"1Story","Ex","Detchd","CompShg","Y","WD",1,0,"Gable","AllPub",686,"GasA","TA",0,"GLQ",0,5,145000,1994,"TA","PConc","SBrkr","1Fam",5,990,"CollegeCr",1,"Inside","IR2",9245,57,"VinylSd","TA","TA"
"82",7,3,"Y","Gd",1316,1,2007,"1Story","Ex","Attchd","CompShg","Y","notWD",2,20,"Gable","AllPub",0,"GasA","Gd",0,"Unf",0,6,200141,2007,"TA","PConc","SBrkr","1Fam",5,1316,"CollegeCr",1,"Corner","IR1",11175,103,"VinylSd","TA","Gd"
"83",8,3,"Y","Gd",133,1,2006,"2Story","Ex","Attchd","CompShg","Y","WD",2,60,"Gable","AllPub",932,"GasA","Gd",1,"GLQ",199,7,255000,2002,"TA","PConc","SBrkr","1Fam",5,1989,"CollegeCr",1,"Corner","Reg",11367,90,"VinylSd","TA","Gd"
"84",7,2,"Y","Gd",1240,0,2007,"1Story","Ex","Attchd","CompShg","Y","WD",2,93,"Gable","AllPub",0,"GasA","Gd",0,"Unf",140,5,194000,2006,"TA","PConc","SBrkr","1Fam",5,1240,"CollegeCr",1,"Inside","Reg",8556,74,"VinylSd","TA","Gd"
"85",6,1,"Y","Gd",186,1,2006,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",662,"GasA","Gd",0,"GLQ",140,3,155900,2004,"TA","PConc","SBrkr","Twnhs",5,848,"CollegeCr",1,"Inside","Reg",4435,37,"VinylSd","TA","Gd"
"86",5,3,"Y","Gd",495,0,2007,"1Story","Gd","Attchd","CompShg","Y","WD",1,64,"Gable","AllPub",495,"GasA","TA",0,"GLQ",0,5,126000,1994,"TA","PConc","SBrkr","1Fam",5,990,"CollegeCr",1,"Inside","Reg",8775,65,"VinylSd","TA","TA"
"87",7,3,"Y","Gd",1459,1,2007,"1Story","Ex","Attchd","CompShg","Y","WD",2,39,"Gable","AllPub",0,"GasA","Gd",0,"Unf",192,6,192000,2002,"TA","PConc","SBrkr","1Fam",5,1459,"CollegeCr",1,"Inside","Reg",8749,70,"VinylSd","TA","Gd"
"88",6,3,"Y","Gd",1290,1,2007,"1Story","Gd","Attchd","CompShg","Y","WD",2,22,"Gable","AllPub",24,"GasA","Gd",0,"GLQ",0,6,176432,2006,"TA","PConc","SBrkr","1Fam",5,1314,"CollegeCr",1,"Inside","IR1",9317,78,"VinylSd","TA","Gd"
