Electrical,HeatingQC,BsmtQual,Foundation,RoofMatl,OverallCond,YearBuilt,Utilities,WoodDeckSF,LotInfo,BsmtFinSF1,SaleType,BedroomAbvGr,KitchenQual,HalfBath,RoofStyle,GrLivArea,OpenPorchSF,Heating,Fireplaces,BldgType,OverallQual,BsmtCond,KitchenAbvGr,FullBath,PavedDrive,YrSold,GarageType,CentralAir,Exterior,HouseStyle,SalePrice,TotRmsAbvGrd,BsmtFinType1
SBrkr,TA,TA,CBlock,CompShg,6,1941,AllPub,48,Inside;Reg;9084;60,236,notWD,3,TA,0,Gable,1111,0,GasA,0,1Fam,5,NA,1,1,Y,2008,Detchd,N,VinylSd;TA;TA,1.5Story,95000,5,BLQ
Fuse,Gd,Fa,BrkTil,CompShg,1,1922,AllPub,0,Inside;IR1;10020;NA,350,WD,1,Fa,1,Gable,904,0,GasA,0,1Fam,1,NA,1,0,Y,2009,,N,OtherSd;TA;TA,1Story,61000,4,BLQ
SBrkr,TA,TA,PConc,CompShg,3,1910,AllPub,0,FR2;Reg;8410;58,0,WD,5,TA,0,notGable,1184,151,GasA,0,1Fam,5,TA,1,1,N,2006,,Y,OtherSd;TA;TA,1.5Story,81000,8,Unf
SBrkr,Ex,TA,BrkTil,CompShg,8,1900,AllPub,0,Inside;Reg;8405;50,241,WD,4,TA,0,Gable,1367,130,GasA,0,1Fam,5,NA,1,1,Y,2008,Detchd,Y,MetalSd;TA;TA,1.5Story,119000,7,ALQ
SBrkr,TA,TA,CBlock,CompShg,6,1956,AllPub,44,Inside;Reg;9571;68,739,WD,3,TA,0,Gable,1144,0,GasA,0,1Fam,5,TA,1,1,Y,2010,Attchd,Y,OtherSd;TA;TA,1Story,129000,6,BLQ
Fuse,Fa,TA,BrkTil,CompShg,6,1940,AllPub,0,Inside;Reg;8160;60,312,WD,3,TA,1,Gable,1134,0,GasA,0,1Fam,5,TA,1,1,P,2007,Detchd,N,MetalSd;TA;TA,1.5Story,126000,7,ALQ
SBrkr,Gd,TA,BrkTil,CompShg,8,1920,AllPub,0,Corner;Reg;12354;67,0,notWD,3,Gd,0,Gable,1196,46,GasA,0,1Fam,6,NA,1,1,Y,2009,Detchd,Y,OtherSd;TA;TA,1.5Story,110000,7,Unf
Fuse,TA,TA,CBlock,CompShg,4,1955,AllPub,0,Inside;Reg;12108;92,133,WD,4,Fa,0,Gable,1440,0,GasA,0,Duplex,4,TA,2,2,Y,2008,,N,VinylSd;TA;TA,1Story,118000,8,ALQ
SBrkr,Fa,TA,CBlock,CompShg,5,1956,AllPub,0,Corner;Reg;9855;73,0,notWD,3,TA,0,notGable,1689,0,GasA,1,1Fam,6,TA,1,1,Y,2009,Attchd,Y,OtherSd;TA;TA,1Story,127500,7,Unf
SBrkr,Ex,TA,CBlock,CompShg,7,1965,AllPub,0,Corner;Reg;9170;70,698,WD,2,TA,0,notGable,1214,0,GasA,0,1Fam,5,TA,1,1,Y,2007,Detchd,Y,MetalSd;TA;TA,1Story,140000,6,ALQ
SBrkr,Ex,TA,BrkTil,CompShg,7,1920,AllPub,0,Inside;IR1;9098;58,348,WD,2,TA,0,Gable,605,0,GasA,0,1Fam,4,TA,1,1,N,2007,,Y,OtherSd;TA;TA,1Story,86000,5,ALQ
SBrkr,TA,Gd,CBlock,CompShg,7,1910,AllPub,85,Inside;Reg;7000;70,969,WD,3,TA,0,Gable,1347,0,GasA,0,2fmCon,5,TA,1,1,N,2008,,Y,MetalSd;TA;TA,2Story,107500,5,GLQ
SBrkr,Ex,,CBlock,CompShg,5,1949,AllPub,0,Inside;Reg;8777;67,0,WD,2,Gd,0,Gable,1126,96,GasA,0,1Fam,4,NA,1,2,N,2009,Detchd,Y,VinylSd;TA;TA,1Story,108000,5,
SBrkr,Ex,TA,CBlock,CompShg,6,1940,AllPub,144,Inside;Reg;13907;63,290,WD,3,TA,0,Gable,996,0,GasA,1,1Fam,5,TA,1,1,Y,2008,,Y,OtherSd;TA;TA,1Story,108000,6,BLQ
SBrkr,Ex,Gd,BrkTil,CompShg,7,1918,AllPub,72,Inside;Reg;21780;66,0,WD,4,TA,0,Gable,1674,36,GasA,1,1Fam,6,TA,1,2,N,2008,Detchd,Y,OtherSd;TA;TA,1.5Story,185000,8,Unf
SBrkr,Ex,TA,CBlock,CompShg,8,1948,AllPub,103,Inside;Reg;7800;78,603,WD,3,Ex,0,Gable,2008,0,GasA,0,1Fam,5,NA,1,3,Y,2006,Attchd,Y,MetalSd;Gd;TA,2Story,225000,8,GLQ
Fuse,Gd,Fa,CBlock,CompShg,7,1910,AllPub,328,Inside;Reg;8777;67,0,WD,2,TA,0,Gable,796,0,GasA,0,1Fam,5,TA,1,1,P,2008,,Y,MetalSd;TA;TA,1Story,85000,4,Unf
SBrkr,Ex,TA,CBlock,CompShg,5,1953,AllPub,0,Inside;IR1;10452;85,500,WD,3,TA,0,notGable,1094,0,GasA,2,1Fam,6,TA,1,1,Y,2008,Attchd,Y,OtherSd;TA;TA,1Story,155000,5,ALQ
SBrkr,TA,TA,CBlock,CompShg,5,1940,AllPub,120,Inside;Reg;9084;60,0,WD,4,TA,0,Gable,1510,0,GasA,1,1Fam,4,TA,1,1,P,2009,Detchd,Y,MetalSd;TA;TA,2Story,108000,7,Unf
SBrkr,Ex,TA,PConc,CompShg,7,1964,AllPub,0,Corner;Reg;9937;75,637,WD,3,TA,0,notGable,1486,0,GasA,0,1Fam,5,TA,1,1,Y,2009,Detchd,Y,MetalSd;Gd;TA,1Story,167000,7,BLQ
Fuse,Fa,Ex,PConc,CompShg,7,1952,AllPub,0,Inside;IR1;6420;57,210,WD,2,TA,0,Gable,1148,0,GasA,0,1Fam,5,NA,1,1,Y,2006,Detchd,Y,OtherSd;TA;TA,1Story,123500,6,BLQ
SBrkr,Ex,Ex,PConc,CompShg,5,2007,AllPub,327,Inside;IR1;13286;86,1234,WD,3,Ex,0,notGable,1698,64,GasA,1,1Fam,9,TA,1,2,Y,2009,Attchd,Y,OtherSd;TA;Gd,1Story,320000,8,GLQ
SBrkr,TA,Gd,CBlock,CompShg,5,1987,AllPub,120,Inside;Reg;10800;60,1200,WD,3,TA,0,Gable,1200,0,GasA,0,Duplex,5,NA,1,3,Y,2009,,Y,OtherSd;TA;TA,1Story,179000,5,GLQ
Fuse,TA,,BrkTil,CompShg,3,1945,AllPub,92,Inside;Reg;8405;50,0,WD,4,TA,0,Gable,1529,0,Wall,0,1Fam,4,NA,1,2,N,2009,Detchd,N,OtherSd;TA;TA,1.5Story,98000,9,
SBrkr,Gd,TA,BrkTil,CompShg,7,1918,AllPub,207,Inside;Reg;8248;45,0,WD,3,Fa,1,Gable,1250,0,GasW,0,1Fam,5,TA,1,1,P,2006,Detchd,Y,OtherSd;TA;TA,1.5Story,116000,7,Unf
SBrkr,Ex,TA,CBlock,CompShg,6,1946,AllPub,0,Inside;Reg;11767;70,352,WD,3,TA,0,Gable,1200,0,GasA,0,1Fam,5,TA,1,1,Y,2008,Detchd,Y,MetalSd;TA;TA,1.5Story,130500,6,BLQ
SBrkr,Gd,Ex,PConc,CompShg,5,2005,AllPub,0,Inside;Reg;7024;60,980,WD,2,TA,1,Gable,1090,49,GasA,0,1Fam,5,NA,1,1,Y,2007,Attchd,Y,VinylSd;TA;TA,1Story,157000,5,ALQ
SBrkr,TA,TA,PConc,CompShg,7,1955,AllPub,121,Inside;IR1;16466;59,0,WD,3,TA,1,Gable,1393,0,GasA,0,1Fam,5,TA,1,1,Y,2008,Attchd,Y,MetalSd;Gd;TA,1.5Story,135500,8,Unf
SBrkr,Gd,TA,CBlock,CompShg,7,1900,AllPub,0,Inside;Reg;8777;67,1084,WD,4,TA,2,Gable,2200,70,GasA,0,Duplex,5,TA,2,2,N,2008,,Y,MetalSd;TA;TA,1.5Story,145900,9,ALQ
SBrkr,TA,Gd,PConc,CompShg,3,1977,AllPub,321,Inside;IR1;7711;42,1440,notWD,4,TA,0,Gable,1440,0,GasA,0,Duplex,4,TA,2,2,N,2007,,Y,MetalSd;TA;TA,1Story,150000,8,GLQ
SBrkr,Ex,TA,CBlock,CompShg,5,1954,AllPub,0,Inside;Reg;9450;68,552,WD,3,TA,0,Gable,894,0,GasA,0,1Fam,4,TA,1,1,Y,2007,Detchd,Y,MetalSd;TA;TA,1Story,110000,5,BLQ
SBrkr,TA,TA,CBlock,CompShg,5,1950,AllPub,0,Inside;Reg;10880;68,1040,notWD,3,TA,0,Gable,1164,48,GasW,0,2fmCon,5,TA,1,1,Y,2008,Detchd,N,MetalSd;TA;TA,1Story,125000,5,ALQ
Fuse,Fa,,BrkTil,notCompShg,3,1952,AllPub,0,Corner;Reg;10206;74,0,WD,2,Fa,0,notGable,944,0,GasW,0,1Fam,3,NA,1,1,Y,2009,Detchd,N,OtherSd;TA;TA,1Story,82000,4,
SBrkr,Ex,Gd,PConc,CompShg,5,2005,AllPub,252,Inside;Reg;7024;60,1024,WD,2,Gd,1,Gable,1132,64,GasA,0,1Fam,4,TA,1,1,Y,2008,Attchd,Y,VinylSd;TA;TA,1Story,176000,5,GLQ
SBrkr,Ex,,BrkTil,CompShg,3,1957,AllPub,186,CulDSac;IR1;11500;NA,0,WD,3,TA,0,Gable,845,0,GasA,0,1Fam,4,NA,1,1,N,2009,Detchd,N,OtherSd;Gd;TA,1Story,84000,5,
Fuse,Ex,,BrkTil,CompShg,5,1955,AllPub,0,CulDSac;IR1;13680;NA,0,WD,4,TA,0,notGable,1733,0,GasA,1,1Fam,3,NA,1,2,Y,2009,Attchd,Y,OtherSd;TA;TA,1Story,139600,8,
SBrkr,Ex,,CBlock,CompShg,7,1946,AllPub,0,Inside;Reg;11100;60,0,WD,2,Gd,0,Gable,930,0,GasA,0,1Fam,4,NA,1,1,Y,2010,Detchd,Y,MetalSd;TA;TA,1Story,84900,6,
Fuse,Ex,TA,CBlock,CompShg,6,1957,AllPub,116,Inside;Reg;8562;68,383,WD,4,TA,0,notGable,1526,78,GasA,1,1Fam,5,TA,1,1,Y,2010,Attchd,Y,OtherSd;TA;TA,1Story,144500,7,ALQ
Fuse,Fa,Fa,CBlock,CompShg,3,1948,AllPub,0,Inside;Reg;7585;50,0,WD,4,TA,0,Gable,1456,0,GasA,1,1Fam,5,NA,1,1,P,2006,Detchd,Y,MetalSd;TA;TA,1.5Story,91500,7,Unf
SBrkr,TA,TA,CBlock,CompShg,6,1977,AllPub,252,Corner;IR1;7950;75,535,WD,3,TA,1,notGable,1426,0,GasA,0,1Fam,6,TA,1,1,Y,2009,Attchd,Y,OtherSd;TA;TA,2Story,159500,6,BLQ
SBrkr,Ex,Gd,PConc,CompShg,5,2004,AllPub,0,Inside;Reg;2522;24,0,WD,3,Gd,0,Gable,1709,40,GasA,0,Twnhs,7,TA,1,2,Y,2006,Detchd,Y,VinylSd;TA;Gd,2Story,137500,7,Unf
Fuse,Ex,TA,CBlock,CompShg,3,1956,AllPub,64,Corner;IR1;8926;NA,0,notWD,3,TA,0,Gable,960,0,GasA,0,1Fam,4,TA,1,1,Y,2009,Attchd,Y,OtherSd;TA;TA,1Story,112000,5,Unf
SBrkr,Ex,TA,CBlock,CompShg,9,1947,AllPub,0,Inside;Reg;9405;50,0,WD,2,TA,0,notGable,698,200,GasA,0,1Fam,5,TA,1,1,Y,2009,,Y,VinylSd;Gd;TA,1Story,118000,4,Unf
Fuse,Fa,Gd,BrkTil,CompShg,4,1941,AllPub,0,Inside;Reg;12180;60,348,WD,2,Fa,0,Gable,924,0,Grav,0,2fmCon,4,TA,1,1,Y,2010,Detchd,N,MetalSd;TA;TA,1.5Story,80000,5,BLQ
SBrkr,TA,TA,CBlock,CompShg,4,1959,AllPub,0,Inside;Reg;17755;134,176,WD,3,Fa,1,Gable,1466,140,GasA,2,1Fam,5,TA,1,1,Y,2006,Attchd,Y,OtherSd;TA;TA,1Story,149900,6,BLQ
SBrkr,Ex,TA,CBlock,CompShg,7,1935,AllPub,0,Corner;Reg;13728;120,626,WD,4,Gd,0,notGable,2108,0,GasA,2,1Fam,6,TA,1,2,Y,2008,Attchd,Y,OtherSd;TA;TA,2Story,235000,7,ALQ
SBrkr,Gd,,BrkTil,CompShg,5,1954,AllPub,0,Corner;Reg;8335;77,0,WD,3,TA,0,Gable,1124,36,GasA,1,1Fam,5,NA,1,1,N,2006,,Y,OtherSd;TA;TA,1Story,93000,5,
SBrkr,Gd,TA,BrkTil,CompShg,7,1924,AllPub,0,Inside;Reg;9738;60,392,WD,4,TA,0,Gable,1221,0,GasA,0,1Fam,5,TA,1,1,Y,2006,Attchd,Y,OtherSd;Gd;TA,1.5Story,104900,7,BLQ
SBrkr,TA,TA,CBlock,CompShg,6,1941,AllPub,0,Inside;Reg;9340;50,344,WD,2,TA,0,notGable,672,113,GasA,0,1Fam,4,TA,1,1,N,2009,Attchd,Y,MetalSd;TA;TA,1Story,113000,4,ALQ
SBrkr,Ex,Gd,PConc,CompShg,5,2003,AllPub,178,Inside;Reg;6931;60,0,WD,3,Gd,1,Gable,1656,128,GasA,1,1Fam,7,TA,1,2,Y,2008,Attchd,Y,VinylSd;TA;Gd,2Story,165400,7,Unf
SBrkr,Ex,Fa,PConc,CompShg,8,1922,AllPub,0,Corner;Reg;4060;56,0,WD,2,TA,0,Gable,864,96,GasA,0,1Fam,5,TA,1,1,Y,2009,,Y,OtherSd;TA;TA,1Story,99900,4,Unf
SBrkr,Ex,Ex,PConc,notCompShg,5,2008,AllPub,214,Corner;IR3;63887;313,5644,notWD,3,Ex,1,notGable,5642,292,GasA,3,1Fam,10,TA,1,2,Y,2008,Attchd,Y,OtherSd;TA;Gd,2Story,160000,12,GLQ
SBrkr,Ex,Gd,PConc,CompShg,5,2004,AllPub,0,Inside;Reg;3363;32,0,WD,3,Gd,0,Gable,1708,40,GasA,0,Twnhs,7,TA,1,2,Y,2006,Detchd,Y,VinylSd;TA;Gd,2Story,130000,7,Unf
SBrkr,Ex,TA,CBlock,CompShg,6,1954,AllPub,0,Inside;Reg;8190;60,732,WD,3,TA,0,notGable,948,36,GasA,1,1Fam,4,TA,1,1,Y,2007,Detchd,Y,OtherSd;TA;TA,1Story,119000,5,ALQ
SBrkr,Ex,TA,PConc,CompShg,5,1954,AllPub,0,Inside;Reg;10215;75,492,WD,3,TA,0,notGable,948,0,GasA,0,1Fam,4,TA,1,1,Y,2007,Attchd,Y,OtherSd;TA;TA,1Story,111000,5,ALQ
SBrkr,Ex,TA,CBlock,CompShg,6,1938,AllPub,0,Inside;Reg;8877;67,690,WD,2,TA,0,Gable,816,0,GasA,1,1Fam,4,TA,1,1,Y,2009,Detchd,Y,MetalSd;TA;TA,1Story,100000,3,ALQ
SBrkr,Ex,TA,CBlock,CompShg,5,1941,AllPub,0,Inside;Reg;10998;60,408,WD,3,TA,0,Gable,1604,68,GasA,0,1Fam,5,TA,1,2,Y,2009,Detchd,Y,OtherSd;TA;TA,1.5Story,117000,6,BLQ
Fuse,TA,TA,BrkTil,CompShg,3,1914,AllPub,0,Inside;Reg;8212;45,203,WD,2,TA,0,Gable,864,0,GasA,0,1Fam,3,NA,1,1,Y,2010,Detchd,N,OtherSd;TA;TA,1Story,58500,5,ALQ
SBrkr,TA,TA,BrkTil,CompShg,5,1939,AllPub,0,Inside;Reg;9060;60,204,WD,2,TA,0,Gable,1258,0,GasA,0,1Fam,6,TA,1,1,P,2009,Detchd,Y,OtherSd;TA;TA,1.5Story,105000,6,ALQ
SBrkr,Gd,Fa,CBlock,CompShg,7,1910,AllPub,168,Inside;Reg;11767;70,0,WD,2,TA,1,Gable,1346,24,GasA,0,1Fam,4,TA,1,1,Y,2007,Detchd,N,MetalSd;TA;TA,2Story,112000,6,Unf
