Highest_Chart_Position,Number of Times Charted,Song Name,Streams,Artist,Genre,Release_date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration,Valence,Chord,Chord_Category,Charted_Category,Top_Fifty,Artist_Follows
14,5,motive (with Doja Cat),4986037,Ariana Grande,['dance pop' 'pop' 'post-teen pop'],10/30/20,80,0.789,0.742,-5.664,0.0652,0.0681,0.166,116.965,167990,0.661,A#/Bb,Sharp,High,1,67208170
40,25,Chica Ideal,5217052,Sebastian Yatra Guaynaa,[],8/9/21,0,0.574,0.891,-3.665,0.157,0.0847,0.16,100.978,183240,0.707,C,Flat,Medium,1,1250353
15,7,Lost Cause,5203319,Billie Eilish,[],8/12/21,0,0.671,0.336,-8.494,0.241,0.705,0.0577,75.051,212496,0.518,A#/Bb,Sharp,High,1,1250353
46,3,STARGAZING,4499820,Travis Scott,['rap' 'slap house'],8/3/18,76,0.487,0.789,-3.69,0.044,0.00947,0.189,150.007,270715,0.0564,G#/Ab,Sharp,Medium,1,17732077
86,1,Available,7473249,Justin Bieber,['canadian pop' 'pop' 'post-teen pop'],2/14/20,58,0.702,0.608,-6.843,0.0359,0.0736,0.129,75.012,195333,0.597,D#/Eb,Sharp,Medium,0,48544923
107,1,Gnat,8614955,Eminem,['detroit hip hop' 'hip hop' 'rap'],12/18/20,70,0.835,0.869,-4.582,0.27,0.248,0.462,140.945,224656,0.82,A#/Bb,Sharp,Medium,0,46814751
62,28,Train Wreck,5081800,James Arthur,['pop' 'post-teen pop' 'talent show' 'uk pop'],10/28/16,82,0.311,0.485,-5.726,0.0365,0.701,0.0726,77.355,208827,0.225,F#/Gb,Sharp,Medium,0,8446147
4,38,How You Like That,5023592,BLACKPINK,['k-pop' 'k-pop girl group'],10/2/20,79,0.812,0.761,-5.222,0.0812,0.0465,0.0601,130.032,182956,0.344,B,Flat,High,1,23848461
96,10,Slumber Party (feat. Princess Nokia),5113574,Ashnikko,['electropop' 'escape room' 'pop'],1/15/21,82,0.964,0.398,-8.981,0.0795,0.00151,0.101,105.012,178405,0.563,B,Flat,Medium,0,1246335
41,19,Got It On Me,4924030,Pop Smoke,['brooklyn drill'],7/3/20,78,0.688,0.647,-7.258,0.19,0.00815,0.095,88.834,164580,0.195,D,Flat,Medium,1,6852509
56,2,Selfish Love (with Selena Gomez),6020785,DJ Snake,['dance pop' 'edm' 'electronic trap' 'pop' 'pop dance'],3/4/21,74,0.723,0.646,-7.973,0.102,0.0206,0.0994,110.971,168649,0.443,F,Flat,Medium,0,7408249
106,4,My Oasis (feat. Burna Boy),4887204,Sam Smith,['dance pop' 'pop' 'post-teen pop' 'uk pop'],7/30/20,69,0.691,0.474,-8.742,0.0583,0.569,0.099,143.783,179917,0.381,A#/Bb,Sharp,Medium,0,17097317
194,2,La Cama - Remix,4261965,Lunay Myke Towers Ozuna Chencho Corleone Rauw Alejandro,['latin' 'latin pop' 'reggaeton' 'reggaeton flow' 'trap latino'],3/27/20,69,0.737,0.832,-2.622,0.0798,0.12,0.255,173.986,330240,0.865,D,Flat,Low,0,4963516
101,22,ocean eyes,4476954,Billie Eilish,[],8/13/21,1,0.358,0.372,-7.664,0.0464,0.81,0.0877,144.833,200387,0.16,E,Flat,Medium,0,1251372
190,1,Ne reviens pas,4676857,Gradur Heuss L'enfoiré,['francoton' 'french hip hop' 'pop urbaine' 'rap francais'],11/29/19,62,0.932,0.778,-3.384,0.0638,0.212,0.168,124.996,188613,0.933,A#/Bb,Sharp,Low,0,1390813
120,7,Sigues Con El - Remix,4440738,Arcangel Sech Romeo Santos,['latin' 'latin hip hop' 'reggaeton' 'trap latino'],4/10/20,69,0.747,0.693,-2.97,0.298,0.102,0.0872,175.994,189567,0.736,C#/Db,Sharp,Medium,0,6671084
103,1,Changes,6865229,Justin Bieber,['canadian pop' 'pop' 'post-teen pop'],2/14/20,62,0.485,0.412,-7.766,0.042,0.738,0.12,64.062,135493,0.612,A,Flat,Medium,0,48544923
52,19,Levitating,6799831,Dua Lipa,['dance pop' 'pop' 'uk pop'],10/1/20,89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915,F#/Gb,Sharp,Medium,0,27142474
99,3,Ohne Dich,5487774,KASIMIR1441 badmómzjay WILDBWOYS,['german alternative rap' 'german hip hop' 'german trap' 'tekk'],1/14/21,70,0.807,0.535,-6.519,0.349,0.191,0.125,156.013,125720,0.925,B,Flat,Medium,0,197320
166,1,Sasuke,4701551,Lil Uzi Vert,['melodic rap' 'philly rap' 'rap' 'trap'],4/24/20,56,0.859,0.477,-6.116,0.428,0.00414,0.0819,145.979,251336,0.153,C#/Db,Sharp,Low,0,11821805
15,5,You Right,11629418,Doja Cat The Weeknd,['dance pop' 'pop'],6/25/21,89,0.828,0.621,-6.414,0.0565,0.0164,0.0845,128.986,186173,0.436,G#/Ab,Sharp,High,1,8640063
2,10,Todo De Ti,26951613,Rauw Alejandro,['puerto rican pop' 'trap latino'],5/20/21,95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342,D#/Eb,Sharp,High,1,6080597
39,6,Higher Power,5142982,Coldplay,[],8/13/21,0,0.507,0.828,-6.023,0.0449,0.00711,0.261,178.032,211295,0.489,A#/Bb,Sharp,High,1,1250353
7,74,SICKO MODE,4898977,Travis Scott,['rap' 'slap house'],8/3/18,84,0.834,0.73,-3.714,0.222,0.00513,0.124,155.008,312820,0.446,G#/Ab,Sharp,High,1,17719446
92,2,Like It's Christmas,9167304,Jonas Brothers,['boy band' 'dance pop' 'pop' 'post-teen pop'],11/8/19,47,0.725,0.571,-6.007,0.102,0.0183,0.0519,146.035,200880,0.61,C#/Db,Sharp,Medium,0,5436999
29,30,Hola - Remix,4617726,Dalex Lenny Tavárez Chencho Corleone Juhn Dímelo Flow,['latin' 'r&b en espanol' 'reggaeton' 'trap latino'],11/1/19,77,0.654,0.672,-5.98,0.311,0.471,0.0781,181.857,249520,0.343,C,Flat,High,1,3600989
53,12,Whine Up,5130783,Nicky Jam Anuel AA,['latin' 'latin hip hop' 'reggaeton' 'trap latino'],11/1/19,70,0.817,0.665,-6.224,0.0758,0.0549,0.103,104.957,215460,0.662,A,Flat,Medium,0,14831925
14,12,Hate The Other Side (with Marshmello & The Kid Laroi),4851997,Juice WRLD Polo G,['chicago rap' 'melodic rap'],7/10/20,78,0.701,0.65,-6.313,0.104,0.291,0.112,90.003,160212,0.647,F#/Gb,Sharp,High,1,19102888
38,2,WHAT TO DO? (feat. Don Toliver),5586351,JACKBOYS Travis Scott,['rap' 'trap'],12/27/19,70,0.643,0.594,-5.191,0.0312,0.0695,0.115,118.037,250142,0.195,A,Flat,High,1,437907
70,2,I Do It (ft. Big Sean Lil Baby),5561205,Lil Wayne,['hip hop' 'new orleans rap' 'pop rap' 'rap' 'trap'],1/31/20,60,0.804,0.528,-3.231,0.378,0.125,0.41,138.005,184440,0.321,C#/Db,Sharp,Medium,0,10710088
150,2,Roller,4732292,Apache 207,['german hip hop'],10/25/19,70,0.941,0.758,-6.47,0.17,0.0256,0.193,128.017,157093,0.683,A#/Bb,Sharp,Low,0,1674348
144,1,CLOUDS,5897983,NF,['hip hop' 'pop rap' 'rap'],2/18/21,69,0.793,0.65,-3.944,0.397,0.371,0.854,128.111,243750,0.809,C#/Db,Sharp,Medium,0,5831194
102,1,Christmas Without You,8813922,Ava Max,['dance pop' 'pop'],10/15/20,45,0.654,0.596,-4.68,0.0458,0.424,0.11,118.078,169245,0.382,C#/Db,Sharp,Medium,0,3916979
14,6,Feliz Navidad,11664490,José Feliciano,['latin pop' 'puerto rican pop'],9/24/02,49,0.513,0.831,-9.004,0.0383,0.55,0.336,148.837,182067,0.963,D,Flat,High,1,239129
128,7,Baby Me Atende,5594505,Matheus Fernandes Dilsinho,['forro' 'sertanejo pop'],2/26/21,83,0.65,0.792,-3.825,0.0393,0.607,0.92,154.027,225672,0.872,F#/Gb,Sharp,Medium,0,77034
38,1,dorothea,14392788,Taylor Swift,['pop' 'post-teen pop'],12/11/20,64,0.605,0.488,-8.322,0.0264,0.696,0.129,119.966,225880,0.354,E,Flat,High,1,42227614
177,7,Fly Away,5053713,Tones And I,['australian pop' 'pop'],11/13/20,79,0.806,0.513,-6.208,0.0685,0.217,0.217,124.988,178157,0.503,E,Flat,Low,0,2820477
104,1,Cardigan,6586204,Don Toliver,['rap' 'trap'],3/13/20,70,0.747,0.497,-6.542,0.0401,0.248,0.138,142.046,158709,0.0663,E,Flat,Medium,0,1606884
65,2,Heatin Up (feat. Gunna),6004839,Lil Baby,['atl hip hop' 'atl trap' 'rap' 'trap'],2/28/20,66,0.788,0.436,-9.435,0.364,0.0611,0.0979,129.847,177314,0.341,C#/Db,Sharp,Medium,0,7816213
69,19,Like That (feat. Gucci Mane),4565377,Doja Cat,['dance pop' 'pop'],11/7/19,77,0.879,0.498,-6.027,0.18,0.239,0.0967,106.044,163173,0.405,E,Flat,Medium,0,8671649
82,2,BENDICIONES,4639997,Bad Bunny,['latin' 'reggaeton' 'trap latino'],5/10/20,67,0.828,0.581,-9.909,0.0725,0.0378,0.103,143.995,155060,0.843,B,Flat,Medium,0,36177712
129,14,Somebody That I Used To Know,5068972,Gotye Kimbra,['australian pop'],1/1/11,76,0.864,0.495,-7.036,0.037,0.591,0.0992,129.062,244973,0.72,C,Flat,Medium,0,2263960
9,7,Underneath the Tree,12266990,Kelly Clarkson,['dance pop' 'neo mellow' 'pop' 'pop rock' 'post-teen pop' 'talent show'],10/29/13,49,0.509,0.812,-5.439,0.0537,0.00128,0.214,159.878,229640,0.689,G#/Ab,Sharp,High,1,7869617
173,5,Remember That Night?,5116325,Sara Kays,['alt z' 'indie cafe pop' 'modern indie pop' 'pop' 'social media pop'],11/6/20,78,0.679,0.61,-10.936,0.0305,0.585,0.156,123.978,227186,0.554,G,Flat,Low,0,251549
6,21,Wants and Needs (feat. Lil Baby),7637626,Drake,['canadian hip hop' 'canadian pop' 'hip hop' 'pop rap' 'rap' 'toronto rap'],3/5/21,87,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956,0.1,C#/Db,Sharp,High,1,56308172
45,4,Fame,4556947,Apache 207,['german hip hop'],5/8/20,62,0.811,0.645,-8.008,0.104,0.184,0.103,129.967,173761,0.474,C#/Db,Sharp,Medium,1,1674348
196,1,Excitement,4416484,Trippie Redd PARTYNEXTDOOR,['melodic rap' 'rap' 'trap'],10/30/20,69,0.443,0.536,-8.187,0.0378,0.0194,0.1,121.967,283285,0.0391,E,Flat,Low,0,6434201
114,1,Slay3r,6912271,Playboi Carti,['atl hip hop' 'plugg' 'rap' 'trap'],12/25/20,63,0.885,0.661,-5.062,0.141,0.165,0.334,140.028,164591,0.436,E,Flat,Medium,0,4958353
190,1,Warning,4860714,Morgan Wallen,['contemporary country'],1/8/21,68,0.633,0.664,-5.037,0.0294,0.46,0.108,115.058,156747,0.268,A#/Bb,Sharp,Low,0,2147875
129,14,Quiéreme Mientras Se Pueda,4899440,Manuel Turizo,['colombian pop' 'latin' 'reggaeton' 'reggaeton colombiano' 'trap latino'],5/1/20,74,0.793,0.782,-3.945,0.0582,0.447,0.124,143.86,191945,0.81,E,Flat,Medium,0,7909963
156,1,LIGHTSKIN SH*T (feat. Future & jetsonmade),4861875,DaBaby,['north carolina hip hop' 'rap'],4/17/20,56,0.932,0.578,-4.478,0.366,0.115,0.115,129.991,111173,0.623,A,Flat,Low,0,7601122
192,1,Please Come Home for Christmas - 2013 Remaster,6400108,Eagles,['album rock' 'classic rock' 'country rock' 'folk rock' 'heartland rock' 'mellow gold' 'rock' 'soft rock' 'yacht rock'],1/1/94,44,0.612,0.289,-11.568,0.0421,0.599,0.0561,183.18,177440,0.466,A,Flat,Low,0,6896776
62,4,eight(Prod.&Feat. SUGA of BTS),4764954,IU,['k-pop'],5/6/20,75,0.676,0.869,-1.573,0.0423,0.115,0.132,120.029,167573,0.594,C#/Db,Sharp,Medium,0,4939593
14,32,Ay DiOs Mío!,5344862,KAROL G,[],8/12/21,0,0.715,0.706,-4.423,0.195,0.496,0.106,179.997,189840,0.522,B,Flat,High,1,1251372
5,21,Hold On,6300416,Justin Bieber,[],8/13/21,0,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,170813,0.29,C#/Db,Sharp,High,1,1250353
105,6,Girl,5434180,Myke Towers,['trap latino'],1/24/20,72,0.733,0.708,-4.957,0.0937,0.0325,0.324,93.021,186427,0.694,F#/Gb,Sharp,Medium,0,6161098
197,1,Steppin On Niggas,4853661,21 Savage Metro Boomin,['atl hip hop' 'hip hop' 'rap' 'trap'],10/2/20,57,0.849,0.635,-4.068,0.254,0.000608,0.062,89.484,140833,0.798,G,Flat,Low,0,9949044
149,10,A Gente Fez Amor - Ao Vivo,5006457,Gusttavo Lima,['sertanejo' 'sertanejo universitario'],12/5/19,66,0.794,0.937,-2.44,0.0336,0.366,0.962,134.012,237517,0.826,G#/Ab,Sharp,Medium,0,12981319
196,1,Kill This Love,4341050,BLACKPINK,['k-pop' 'k-pop girl group'],4/5/19,76,0.763,0.835,-5.234,0.191,0.323,0.225,131.875,191050,0.645,D,Flat,Low,0,23848461
160,2,EARFQUAKE,5079657,Tyler The Creator,['hip hop' 'rap'],5/17/19,79,0.554,0.498,-8.866,0.0685,0.23,0.795,79.635,190067,0.413,A,Flat,Low,0,6782693
177,2,Prospect (ft. Lil Baby),4571916,iann dior,['melodic rap' 'pop rap'],6/12/20,68,0.816,0.579,-6.097,0.0867,0.203,0.127,120.078,226314,0.43,C#/Db,Sharp,Low,0,1276292
5,31,Lonely (with benny blanco),5191697,Justin Bieber,['canadian pop' 'pop' 'post-teen pop'],10/16/20,80,0.631,0.239,-7.071,0.0398,0.864,0.116,79.859,149297,0.0927,B,Flat,High,1,48504126
193,1,ME! (feat. Brendon Urie of Panic! At The Disco),4884909,Taylor Swift,['pop' 'post-teen pop'],8/23/19,77,0.61,0.83,-4.105,0.0571,0.033,0.118,182.162,193000,0.728,C,Flat,Low,0,42227614
11,5,august,4586236,Taylor Swift,['pop' 'post-teen pop'],7/24/20,76,0.532,0.623,-9.208,0.0331,0.538,0.0925,89.937,261923,0.403,F,Flat,High,1,42227614
63,6,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),4618744,Lil Yachty,['atl hip hop' 'hip hop' 'melodic rap' 'rap' 'trap' 'underground hip hop' 'viral rap'],3/9/20,69,0.836,0.617,-4.363,0.0534,0.17,0.319,138.066,206702,0.866,C,Flat,Medium,0,7358720
159,1,DEUX TOILES DE MER,5094137,Damso,['belgian hip hop' 'french hip hop' 'pop urbaine' 'rap belge' 'rap conscient'],4/28/21,62,0.521,0.39,-9.726,0.128,0.582,0.112,104.106,315640,0.157,G#/Ab,Sharp,Low,0,3071170
36,2,Fighting Demons,5946573,Juice WRLD,['chicago rap' 'melodic rap'],7/10/20,70,0.707,0.67,-6.328,0.257,0.0813,0.098,163.099,200629,0.235,G,Flat,High,1,19102888
99,2,Freedom,4573723,Kygo Zak Abel,['edm' 'pop' 'pop dance' 'tropical house'],4/17/20,72,0.715,0.635,-6.591,0.0791,0.127,0.0862,112.887,198635,0.39,G,Flat,Medium,0,7593792
166,11,Investe Em Mim,5191001,Jonas Esticado,['forro' 'sertanejo' 'sertanejo pop' 'sertanejo universitario'],12/13/19,72,0.632,0.953,-1.283,0.0325,0.317,0.125,160.061,186533,0.798,A,Flat,Low,0,1293055
29,15,What If I Told You That I Love You,5234645,Ali Gatie,['canadian hip hop' 'pop'],3/26/21,69,0.596,0.366,-11.144,0.115,0.63,0.0554,84.394,193668,0.229,G,Flat,High,1,1758300
41,2,peace,5943851,Taylor Swift,['pop' 'post-teen pop'],7/24/20,67,0.647,0.272,-12.906,0.0916,0.918,0.0918,150.044,234000,0.339,F,Flat,Medium,1,42227614
